,aryl_halides,solvent,photocalysts,solvent_photocatalyst,piperidines,catalysts,ni_catalysts,ni_solvent,products,uplcms,aryl_halides_moles,photocalysts_moles,piperidines_moles,catalysts_moles,ni_catalysts_moles,photocalysts_moles_log+1
10,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,CS(C)=O,C1=CC2Sc3ccccc3N(c3ccccc3)C2C=C1,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)N4CCCCC4,0.0,100,0.5,150,180,5,0.3068528194400547
11,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,CS(C)=O,C1=CC2Sc3ccccc3N(c3ccccc3)C2C=C1,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,c1cc2c(cc1N3CCCCC3)C(OC(=O)N2)(C#CC4CC4)C(F)(F)F,0.0,100,0.5,150,180,5,0.3068528194400547
12,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,CS(C)=O,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)N4CCCCC4,0.0,100,0.5,150,180,5,0.3068528194400547
13,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,CS(C)=O,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,c1cc2c(cc1N3CCCCC3)C(OC(=O)N2)(C#CC4CC4)C(F)(F)F,0.0,100,0.5,150,180,5,0.3068528194400547
14,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,CS(C)=O,O=C1OC2(c3cc(I)c(O)c(I)c3Oc3c2cc(I)c(O)c3I)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)N4CCCCC4,0.0,100,0.5,150,180,5,0.3068528194400547
15,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,CS(C)=O,O=C1OC2(c3cc(I)c(O)c(I)c3Oc3c2cc(I)c(O)c3I)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,c1cc2c(cc1N3CCCCC3)C(OC(=O)N2)(C#CC4CC4)C(F)(F)F,0.0,100,0.5,150,180,5,0.3068528194400547
16,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,CS(C)=O,F[B-](F)(F)F.c1ccc(-c2cc(-c3ccccc3)[o+]c(-c3ccccc3)c2)cc1,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)N4CCCCC4,0.0,100,0.5,150,180,5,0.3068528194400547
17,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,CS(C)=O,F[B-](F)(F)F.c1ccc(-c2cc(-c3ccccc3)[o+]c(-c3ccccc3)c2)cc1,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,c1cc2c(cc1N3CCCCC3)C(OC(=O)N2)(C#CC4CC4)C(F)(F)F,0.0,100,0.5,150,180,5,0.3068528194400547
18,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,CS(C)=O,N#Cc1ccc(C#N)c2ccccc12,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)N4CCCCC4,0.0,100,0.5,150,180,5,0.3068528194400547
19,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,CS(C)=O,N#Cc1ccc(C#N)c2ccccc12,CS(C)=O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.Cl[Ni]Cl,CS(C)=O,c1cc2c(cc1N3CCCCC3)C(OC(=O)N2)(C#CC4CC4)C(F)(F)F,0.0,100,0.5,150,180,5,0.3068528194400547
